"","Name","date","Confirmed.Cases","Deaths","Recovered","Active","Incident.Rate","Testing.Rate","Hospitalization.Rate"
"133","NORTH CAROLINA","2020-01-24",0,0,0,0,0,0,0
"134","NORTH DAKOTA","2020-01-24",0,0,0,0,0,0,0
"135","OHIO","2020-01-24",0,0,0,0,0,0,0
"136","OKLAHOMA","2020-01-24",0,0,0,0,0,0,0
"137","OREGON","2020-01-24",0,0,0,0,0,0,0
"138","PENNSYLVANIA","2020-01-24",0,0,0,0,0,0,0
"139","RHODE ISLAND","2020-01-24",0,0,0,0,0,0,0
"140","SOUTH CAROLINA","2020-01-24",0,0,0,0,0,0,0
"141","SOUTH DAKOTA","2020-01-24",0,0,0,0,0,0,0
"142","TENNESSEE","2020-01-24",0,0,0,0,0,0,0
"143","TEXAS","2020-01-24",0,0,0,0,0,0,0
"144","UTAH","2020-01-24",0,0,0,0,0,0,0
"145","VERMONT","2020-01-24",0,0,0,0,0,0,0
"146","VIRGINIA","2020-01-24",0,0,0,0,0,0,0
"147","WASHINGTON","2020-01-24",1,0,0,0,0,0,0
"148","WEST VIRGINIA","2020-01-24",0,0,0,0,0,0,0
"149","WISCONSIN","2020-01-24",0,0,0,0,0,0,0
"150","WYOMING","2020-01-24",0,0,0,0,0,0,0
"151","ALABAMA","2020-01-25",0,0,0,0,0,0,0
"152","ALASKA","2020-01-25",0,0,0,0,0,0,0
"153","ARIZONA","2020-01-25",0,0,0,0,0,0,0
"154","ARKANSAS","2020-01-25",0,0,0,0,0,0,0
"155","CALIFORNIA","2020-01-25",0,0,0,0,0,0,0
"156","COLORADO","2020-01-25",0,0,0,0,0,0,0
"157","CONNECTICUT","2020-01-25",0,0,0,0,0,0,0
"158","DELAWARE","2020-01-25",0,0,0,0,0,0,0
"159","FLORIDA","2020-01-25",0,0,0,0,0,0,0
"160","GEORGIA","2020-01-25",0,0,0,0,0,0,0
"161","HAWAII","2020-01-25",0,0,0,0,0,0,0
"162","IDAHO","2020-01-25",0,0,0,0,0,0,0
"163","ILLINOIS","2020-01-25",1,0,0,0,0,0,0
"164","INDIANA","2020-01-25",0,0,0,0,0,0,0
"165","IOWA","2020-01-25",0,0,0,0,0,0,0
"166","KANSAS","2020-01-25",0,0,0,0,0,0,0
"167","KENTUCKY","2020-01-25",0,0,0,0,0,0,0
"168","LOUISIANA","2020-01-25",0,0,0,0,0,0,0
"169","MAINE","2020-01-25",0,0,0,0,0,0,0
"170","MARYLAND","2020-01-25",0,0,0,0,0,0,0
"171","MASSACHUSETTS","2020-01-25",0,0,0,0,0,0,0
"172","MICHIGAN","2020-01-25",0,0,0,0,0,0,0
"173","MINNESOTA","2020-01-25",0,0,0,0,0,0,0
"174","MISSISSIPPI","2020-01-25",0,0,0,0,0,0,0
"175","MISSOURI","2020-01-25",0,0,0,0,0,0,0
"176","MONTANA","2020-01-25",0,0,0,0,0,0,0
"177","NEBRASKA","2020-01-25",0,0,0,0,0,0,0
"178","NEVADA","2020-01-25",0,0,0,0,0,0,0
