"","Province_State","statefips","date","Population","confirmed","death"
"179","New Hampshire",33,2020-01-25,1359711,0,0
"180","New Jersey",34,2020-01-25,8882190,0,0
"181","New Mexico",35,2020-01-25,2096829,0,0
"182","New York",36,2020-01-25,19453561,0,0
"183","North Carolina",37,2020-01-25,10488084,0,0
"184","North Dakota",38,2020-01-25,762062,0,0
"185","Ohio",39,2020-01-25,11689100,0,0
"186","Oklahoma",40,2020-01-25,3956971,0,0
"187","Oregon",41,2020-01-25,4217737,0,0
"188","Pennsylvania",42,2020-01-25,12801989,0,0
"189","Rhode Island",44,2020-01-25,1059361,0,0
"190","South Carolina",45,2020-01-25,5148714,0,0
"191","South Dakota",46,2020-01-25,884659,0,0
"192","Tennessee",47,2020-01-25,6829174,0,0
"193","Texas",48,2020-01-25,28995881,0,0
"194","Utah",49,2020-01-25,3205958,0,0
"195","Vermont",50,2020-01-25,623989,0,0
"196","Virginia",51,2020-01-25,8535519,0,0
"197","Washington",53,2020-01-25,7614893,1,0
"198","West Virginia",54,2020-01-25,1792147,0,0
"199","Wisconsin",55,2020-01-25,5822434,0,0
"200","Wyoming",56,2020-01-25,578759,0,0
"201","Alabama",1,2020-01-26,4903185,0,0
"202","Alaska",2,2020-01-26,731545,0,0
"203","Arizona",4,2020-01-26,7278717,1,0
"204","Arkansas",5,2020-01-26,3017804,0,0
"205","California",6,2020-01-26,39512223,2,0
"206","Colorado",8,2020-01-26,5758736,0,0
"207","Connecticut",9,2020-01-26,3565287,0,0
"208","Delaware",10,2020-01-26,973764,0,0
"209","Florida",12,2020-01-26,21477737,0,0
"210","Georgia",13,2020-01-26,10617423,0,0
"211","Hawaii",15,2020-01-26,1415872,0,0
"212","Idaho",16,2020-01-26,1787065,0,0
"213","Illinois",17,2020-01-26,12671821,1,0
"214","Indiana",18,2020-01-26,6732219,0,0
"215","Iowa",19,2020-01-26,3155070,0,0
"216","Kansas",20,2020-01-26,2913314,0,0
"217","Kentucky",21,2020-01-26,4467673,0,0
"218","Louisiana",22,2020-01-26,4648794,0,0
"219","Maine",23,2020-01-26,1344212,0,0
"220","Maryland",24,2020-01-26,6045680,0,0
"221","Massachusetts",25,2020-01-26,6892503,0,0
"222","Michigan",26,2020-01-26,9986857,0,0
"223","Minnesota",27,2020-01-26,5639632,0,0
"224","Mississippi",28,2020-01-26,2976149,0,0
"225","Missouri",29,2020-01-26,6626371,0,0
"226","Montana",30,2020-01-26,1068778,0,0
"227","Nebraska",31,2020-01-26,1934408,0,0
"228","Nevada",32,2020-01-26,3080156,0,0
"229","New Hampshire",33,2020-01-26,1359711,0,0
"230","New Jersey",34,2020-01-26,8882190,0,0
"231","New Mexico",35,2020-01-26,2096829,0,0
"232","New York",36,2020-01-26,19453561,0,0
"233","North Carolina",37,2020-01-26,10488084,0,0
"234","North Dakota",38,2020-01-26,762062,0,0
"235","Ohio",39,2020-01-26,11689100,0,0
"236","Oklahoma",40,2020-01-26,3956971,0,0
"237","Oregon",41,2020-01-26,4217737,0,0
"238","Pennsylvania",42,2020-01-26,12801989,0,0
"239","Rhode Island",44,2020-01-26,1059361,0,0
"240","South Carolina",45,2020-01-26,5148714,0,0
"241","South Dakota",46,2020-01-26,884659,0,0
"242","Tennessee",47,2020-01-26,6829174,0,0
"243","Texas",48,2020-01-26,28995881,0,0
"244","Utah",49,2020-01-26,3205958,0,0
"245","Vermont",50,2020-01-26,623989,0,0
"246","Virginia",51,2020-01-26,8535519,0,0
"247","Washington",53,2020-01-26,7614893,1,0
"248","West Virginia",54,2020-01-26,1792147,0,0
"249","Wisconsin",55,2020-01-26,5822434,0,0
"250","Wyoming",56,2020-01-26,578759,0,0
"251","Alabama",1,2020-01-27,4903185,0,0
"252","Alaska",2,2020-01-27,731545,0,0
"253","Arizona",4,2020-01-27,7278717,1,0
"254","Arkansas",5,2020-01-27,3017804,0,0
"255","California",6,2020-01-27,39512223,2,0
"256","Colorado",8,2020-01-27,5758736,0,0
"257","Connecticut",9,2020-01-27,3565287,0,0
"258","Delaware",10,2020-01-27,973764,0,0
"259","Florida",12,2020-01-27,21477737,0,0
"260","Georgia",13,2020-01-27,10617423,0,0
"261","Hawaii",15,2020-01-27,1415872,0,0
"262","Idaho",16,2020-01-27,1787065,0,0
"263","Illinois",17,2020-01-27,12671821,1,0
"264","Indiana",18,2020-01-27,6732219,0,0
"265","Iowa",19,2020-01-27,3155070,0,0
"266","Kansas",20,2020-01-27,2913314,0,0
"267","Kentucky",21,2020-01-27,4467673,0,0
"268","Louisiana",22,2020-01-27,4648794,0,0
"269","Maine",23,2020-01-27,1344212,0,0
"270","Maryland",24,2020-01-27,6045680,0,0
"271","Massachusetts",25,2020-01-27,6892503,0,0
"272","Michigan",26,2020-01-27,9986857,0,0
"273","Minnesota",27,2020-01-27,5639632,0,0
